"Feature","Feature Type","feature subtype","Feature Description","Origin","Insertion","region","subregion","featurelocation","Bone/joint","Nerve","Joint","lateral margin","medial margin","floor","roof","apex","base","anterior margin"," posterior margin"
"Inferior ramus of pubis","Boney feature","ramus","adductor brevis","adductor brevis","adductor brevis","pelvis","pubis","pubis","pubis",,,,,,,,,,
"body of pubis","Boney feature",,"Superior gemellus","Superior gemellus","Superior gemellus","pelvis","pubis","pubis","pubis",,,,,,,,,,
"Ischial tuberosity","Boney feature","tuberosity","semitendinosus ","semitendinosus ",,"pelvis","ischium","ischium","ischium",,,,,,,,,,
"Ischial tuberosity","Boney feature","tuberosity","semimembranosus","semimembranosus",,"pelvis","ischium","ischium","ischium",,,,,,,,,,
"Ischial tuberosity","Boney feature","tuberosity","semimembranosus","semimembranosus",,"pelvis","ischium","ischium","ischium",,,,,,,,,,
"Ischial tuberosity","Boney feature","tuberosity","adductor magnus (hamstring) ","adductor magnus (hamstring) ",,"pelvis","ischium","ischium","ischium",,,,,,,,,,
"Lesser sciatic notch","Boney feature","notch","Lesser sciatic notch",,,"pelvis",,,,,,,,,,,,,
"Obturator crest","Boney feature","crest","Obturator crest",,,"pelvis",,,,,,,,,,,,,
"Obturator foramen","Boney feature","foramen","Obturator foramen",,,"pelvis",,,,,,,,,,,,,
"Obturator foramen","Boney feature","foramen","Obturator foramen",,,"pelvis",,,,,,,,,,,,,
"Obturator groove","Boney feature","groove","Obturator groove",,,"pelvis",,,,,,,,,,,,,
"Posterior gluteal line","Boney feature","line","Posterior gluteal line",,,"pelvis",,,,,,,,,,,,,
"Posterior inferior iliac spine","Boney feature","spine","Posterior inferior iliac spine",,,"pelvis",,"lateral surface of ilium",,,,,,,,,,,
"Posterior superior iliac spine","Boney feature","spine","Posterior superior iliac spine",,,"pelvis",,"lateral surface of ilium",,,,,,,,,,,
"Pubic tubercle","Boney feature","tubercle","Pubic tubercle",,,"pelvis",,"lateral surface of pubis",,,,,,,,,,,
"Ramus of ischium","Boney feature","ramus","Ramus of ischium",,,"pelvis",,,,,,,,,,,,,
"Rim of acetabulum","Boney feature",,"Rim of acetabulum",,,"pelvis",,,,,,,,,,,,,
"Superior ramus of pubis","Boney feature","ramus","Superior ramus of pubis",,,"pelvis",,,,,,,,,,,,,
"Tuberclum of iliac crest","Boney feature","tubercle","Tuberclum of iliac crest",,,"pelvis",,"lateral surface of ilium",,,,,,,,,,,
"Anterior inferior iliac spine","medial surface","spine","Anterior inferior iliac spine",,,"pelvis",,"medial surface of ilium",,,,,,,,,,,
"Anterior superior iliac spine","medial surface","spine","Anterior superior iliac spine",,,"pelvis",,"medial surface of ilium",,,,,,,,,,,
"Arcuate line","medial surface","line","Arcuate line",,,"pelvis",,"medial surface of ilium",,,,,,,,,,,
"Auricular surface","medial surface",,"Auricular surface",,,"pelvis",,"medial surface of ilium",,,,,,,,,,,
"Body of ischium","medial surface",,"Body of ischium",,,"pelvis",,,,,,,,,,,,,
"Greater sciatic notch","medial surface","notch","Greater sciatic notch",,,"pelvis",,,,,,,,,,,,,
"Iliac crest","medial surface","crest","Iliac crest",,,"pelvis",,,,,,,,,,,,,
"Iliac fossa","medial surface","fossa","Iliac fossa",,,"pelvis",,,,,,,,,,,,,
"Iliac tuberosity","medial surface","tuberosity","Iliac tuberosity",,,"pelvis",,,,,,,,,,,,,
"Iliopubic eminence","medial surface",,"Iliopubic eminence",,,"pelvis",,,,,,,,,,,,,
"Ischial spine","medial surface","spine","Ischial spine",,,"pelvis",,,,,,,,,,,,,
"Ischial tuberosity","medial surface","tuberosity","Ischial tuberosity",,,"pelvis",,,,,,,,,,,,,
"Superir aspect of the Ischial tuberosity","medial surface","tuberosity","Superir aspect of the Ischial tuberosity",,,"pelvis",,,,,,,,,,,,,
"Ischiopubic ramus","medial surface","ramus","Ischiopubic ramus",,,"pelvis",,,,,,,,,,,,,
"Ischiopubic ramus","medial surface","ramus","Ischiopubic ramus",,,"pelvis",,,,,,,,,,,,,
"Lesser sciatic notch","medial surface","notch","Lesser sciatic notch",,,"pelvis",,,,,,,,,,,,,
"Obturator foramen","medial surface","foramen","Obturator foramen",,,"pelvis",,,,,,,,,,,,,
"Obturator groove","medial surface","groove","Obturator groove",,,"pelvis",,,,,,,,,,,,,
"pectineal line","medial surface","line","Pecten of pubis (pectineal line)","pectineus",,"pelvis",,,,,,,,,,,,,
"Posterior inferior iliac spine","medial surface","spine","Posterior inferior iliac spine",,,"pelvis",,,,,,,,,,,,,
"Posterior superior iliac spine","medial surface","spine","Posterior superior iliac spine",,,"pelvis",,,,,,,,,,,,,
"Pubic crest","medial surface","crest","Pubic crest",,,"pelvis",,,,,,,,,,,,,
"Pubic tubercle","medial surface","tubercle","Pubic tubercle",,,"pelvis",,,,,,,,,,,,,
"Superior ramus of pubis","medial surface","ramus","Superior ramus of pubis",,,"pelvis",,,,,,,,,,,,,
"Intertrochanteric line","Boney feature","line","Intertrochanteric line",,,"pelvis",,,,,,,,,,,,,
"Superior articular process","Boney feature","Articulating Surfaces",,,,"lower limb",,"anterior sacrum","sacrum",,,,,,,,,,
"surface  ","Boney feature",,"Piriformis","Piriformis",,"lower limb",,"anterior sacrum","sacrum",,,,,,,,,,
"Base of sacrum","Boney feature",,,,,"lower limb",,"anterior sacrum","sacrum",,,,,,,,,,
"anterior sacral promontory","Boney feature",,,,,"lower limb",,"anterior sacrum","sacrum",,,,,,,,,,
"Anterior sacral foramen","Boney feature","foramen",,,,"lower limb",,"anterior sacrum","sacrum",,,,,,,,,,
"Transverse line","Boney feature","line",,,,"lower limb",,"anterior sacrum","sacrum",,,,,,,,,,
"apex of sacrum","Boney feature",,,,,"lower limb",,"anterior sacrum","sacrum",,,,,,,,,,
"Superior articular facet","Boney feature","facet",,,,"lower limb",,"posterior sacrum","sacrum",,,,,,,,,,
"sacral canal","Boney feature",,,,,"lower limb",,"posterior sacrum","sacrum",,,,,,,,,,
"sacral tuberosity","Boney feature","tuberosity",,,,"lower limb",,"posterior sacrum","sacrum",,,,,,,,,,
"Auricular surface","Boney feature",,,,,"lower limb",,"posterior sacrum","sacrum",,,,,,,,,,
"lateral sacral crest","Boney feature","crest",,,,"lower limb",,"posterior sacrum","sacrum",,,,,,,,,,
"posterior sacral foramen","Boney feature","foramen",,,,"lower limb",,"posterior sacrum","sacrum",,,,,,,,,,
"median sacral crest","Boney feature","crest",,,,"lower limb",,"posterior sacrum","sacrum",,,,,,,,,,
"sacral cornu","Boney feature",,,,,"lower limb",,"posterior sacrum","sacrum",,,,,,,,,,
"lower transverse sacral tubercles","Boney feature","tubercle",,,,"lower limb",,"posterior sacrum","sacrum",,,,,,,,,,
"coccygeal cornu","Boney feature",,"coccygeal cornu",,,"lower limb",,"coccyx","coccyx",,,,,,,,,,
"transverse process","Boney feature","process","transverse process",,,"lower limb",,,,,,,,,,,,,
"Fovea of head","Boney feature",,"Fovea of head",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"gluteal tuberosity of femur","Boney feature","tuberosity","gluteal tuberosity of femur",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"gluteal tuberosity of femur","Boney feature","tuberosity","gluteal tuberosity of femur",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"linea aspera","Boney feature",,"linea aspera",,,"lower limb","thigh","shaft  ","femur",,,,,,,,,,
"linea aspera","Boney feature",,"linea aspera",,,"lower limb","thigh","shaft  ","femur",,,,,,,,,,
"linea aspera middle third","Boney feature",,"linea aspera middle third",,,"lower limb","thigh","shaft  ","femur",,,,,,,,,,
"linea aspera","Boney feature",,"linea aspera",,,"lower limb","thigh","shaft  ","femur",,,,,,,,,,
"linea aspera","Boney feature",,"linea aspera",,,"lower limb","thigh","shaft  ","femur",,,,,,,,,,
"linea aspera upper third","Boney feature",,"linea aspera upper third",,,"lower limb","thigh","shaft  ","femur",,,,,,,,,,
"Anterolateral surface of Greater trochanter","Boney feature",,"Anterolateral surface of Greater trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"posterior surface  ","Boney feature",,"posterior surface  ",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"posterior surface  ","Boney feature",,"posterior surface  ",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Greater trochanter","Boney feature",,"Greater trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Greater trochanter","Boney feature",,"Greater trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Greater trochanter","Boney feature",,"Greater trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Medial surface of Greater trochanter","Boney feature",,"Medial surface of Greater trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Medial surface of Greater trochanter","Boney feature",,"Medial surface of Greater trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Medial surface of Greater trochanter","Boney feature",,"Medial surface of Greater trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Superior border Greater trochanter","Boney feature",,"Superior border Greater trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Lateral surface Greater trochanter","Boney feature",,"Lateral surface Greater trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Head","Boney feature",,"Head",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Intertrochanteric line","Boney feature",,"Intertrochanteric line",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Lesser trochanter","Boney feature",,"Lesser trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Lesser trochanter","Boney feature",,"Lesser trochanter",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Pectineal line","Boney feature",,"Pectineal line",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Quadrate tubercle on intertrochanteric crest","Boney feature",,"Quadrate tubercle on intertrochanteric crest",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Shaft","Boney feature",,"Shaft",,,"lower limb","thigh","mid femur","femur",,,,,,,,,,
"Spiral line","Boney feature",,"Spiral line",,,"lower limb","thigh","mid femur","femur",,,,,,,,,,
"Trochanteric fossa","Boney feature",,"Trochanteric fossa",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"upper anterior and lateral femur","Boney feature",,"upper anterior and lateral femur",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"Neck","Boney feature",,"Neck",,,"lower limb","thigh","proximal femur","femur",,,,,,,,,,
"medial epicondyle","Boney feature","epicondyle","medial epicondyle",,,"lower limb","thigh","Posterior Medial distal femur","femur",,,,,,,,,,
"adductor tubercle","Boney feature","tubercle","adductor tubercle",,,"lower limb","thigh","Posterior Medial distal femur","femur",,,,,,,,,,
"lateral epicondyle","Boney feature","epicondyle","lateral epicondyle",,,"lower limb","thigh","Posterior Lateral distal femur","femur",,,,,,,,,,
"patellar surface","Boney feature",,"patellar surface",,,"lower limb","thigh","Lateral distal femur","femur",,"femoropatellar",,,,,,,,
"lateral supracondylar line","Boney feature",,"lateral supracondylar line",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"intercondylar fossa","Boney feature","fossa","intercondylar fossa",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"facet for attachment of posterior cruciate ligament","Boney feature","facet","facet for attachment of posterior cruciate ligament",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"facet for attachment of tendon of popliteus muscle","Boney feature","facet","facet for attachment of tendon of popliteus muscle",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"facet for attachment of anterior cruciate ligament","Boney feature","facet","facet for attachment of anterior cruciate ligament",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"medial supracondylar line","Boney feature",,"medial supracondylar line",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"medial supracondylar line","Boney feature",,"medial supracondylar line",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"medial condyle","Boney feature","condyle","medial condyle",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"lateral condyle","Boney feature","condyle","lateral condyle",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"medial head of gastrocnemius muscle","Boney feature",,"medial head of gastrocnemius muscle",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"lateral head of gastrocnemius muscle",,,"lateral head of gastrocnemius muscle",,,"lower limb","thigh","Anterior distal femur","femur",,,,,,,,,,
"Tibia","Proximal tibia",,"tubercles of intercondylar eminence",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"anterior attachment of medial meniscus",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"medial condyle",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"medial condyle",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"roughened and perforated area",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"Shaft",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"tibial tuberosity",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"tibial tuberosity",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"tibial tuberosity",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"tibial tuberosity",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"inferomedial to tibial tuberosity",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"lateral condyle",,,"lower limb",,,,,"superior tibio-patellar",,,,,,,,
"pes anserinus","Boney feature","insertion","site of attachment of sartorius, gracilis and semitendinosus muscles",,"sartorius","lower limb","leg","Proximal tibia","tibia",,,,,,,,,,
"pes anserinus","Boney feature","insertion","site of attachment of sartorius, gracilis and semitendinosus muscles",,"gracilis","lower limb","leg","Proximal tibia","tibia",,,,,,,,,,
"pes anserinus","Boney feature","insertion","site of attachment of sartorius, gracilis and semitendinosus muscles",,"semitendinosus","lower limb","leg","Proximal tibia","tibia",,,,,,,,,,
"Tibia","Proximal tibia",,"attachment of medial meniscus",,,"lower limb",,,,,,,,,,,,,
"Tibia","Proximal tibia",,"attachment of posterior cruciate ligament",,,"lower limb",,,,,,,,,,,,,
"articular facet for proximal head of fibula","Boney feature","facet","articular facet for proximal head of fibula",,,"lower limb",,,"tibia",,,,,,,,,,
"Tibia","mid tibia",,"soleal line",,,"lower limb",,,,,,,,,,,,,
"fibula","proximal fibula",,"apex (styloid process)",,,"lower limb",,,,,,,,,,,,,
"fibula","proximal fibula",,"attachment site for fibular collateral ligament",,,"lower limb",,,,,,,,,,,,,
"fibula","proximal fibula",,"attachment site for tendon of biceps femoris",,,"lower limb",,,,,,,,,,,,,
"fibula","proximal fibula","neck","Neck",,,"lower limb",,,,,,,,,,,,,
,,,,,,"lower limb",,,,,,,,,,,,,
"fibula","head","Articulating Surfaces",,,,"lower limb",,,,,"superior tibio-patellar",,,,,,,,
"fibula","proximal fibula",,"facet for articulation with inferior surface of lateral condyle of tibia",,,"lower limb",,"facet for articulation with inferior surface of lateral condyle of tibia",,,,,,,,,,,
"fibula","proximal anterior fibula",,"anterior border",,,"lower limb",,,,,,,,,,,,,
"fibula","proximal anterior fibula",,"interosseous border",,,"lower limb",,,,,,,,,,,,,
"Tibia","distal anterior tibia",,"anterior surface",,,"lower limb",,,,,,,,,,,,,
"Tibia","distal anterior tibia",,"medial malleolus",,,"lower limb",,,,,,,,,,,,,
"Tibia","distal posterior tibia",,"groove for flexor hallucis longus",,,"lower limb",,,,,,,,,,,,,
"Tibia","distal posterior tibia",,"groove for tibialis posterior",,,"lower limb",,,,,,,,,,,,,
"Tibia","distal posterior tibia",,"medial malleolus",,,"lower limb",,,,,,,,,,,,,
"fibula","distal anterior fibula",,"lateral malleolus",,,"lower limb",,,,,,,,,,,,,
"fibula","distal anterior fibula",,"triangular subcutaneous area",,,"lower limb",,,,,,,,,,,,,
"fibula","distal posterior fibula",,"Groove for peroneus (fibularis) brevis",,,"lower limb",,,,,,,,,,,,,
"fibula","distal posterior fibula",,"Lateral malleolus",,,"lower limb",,,,,,,,,,,,,
"fibula","distal posterior fibula",,"Lateral surface",,,"lower limb",,,,,,,,,,,,,
"fibula","distal posterior fibula",,"Malleolar fossa",,,"lower limb",,,,,,,,,,,,,
"fibula","distal posterior fibula",,"Medial crest",,,"lower limb",,,,,,,,,,,,,
"fibula","distal posterior fibula",,"Articular facet of lateral malleolus (for ankle joint)",,,"lower limb",,"Articular facet of lateral malleolus (for ankle joint)",,,,,,,,,,,
"fibula","distal posterior fibula",,"Inferior tibiofibular joint",,,"lower limb",,,,,"Inferior tibiofibular joint",,,,,,,,
"fibula","distal posterior fibula",,"Malleolar fossa",,,,,,,,,,,,,,,,
"patella","Articular surface",,,,,,,,,,"femoropatellar",,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"navicular","foot",,,,,,,,,,,,,,,,,,
"medial cuneiform","foot",,,,,,,,,,,,,,,,,,
"intermediate cuneiform","foot",,,,,,,,,,,,,,,,,,
"lateral cuneiform","foot",,,,,,,,,,,,,,,,,,
"cuboid","foot",,,,,,,,,,,,,,,,,,
"talus","foot",,"posterior process of talus",,,,,,,,,,,,,,,,
"talus","foot",,"head",,,,,,,,,,,,,,,,
"talus","foot",,"neck",,,,,,,,,,,,,,,,
"talus","foot",,"articular surface for navicular",,,,,"articular surface for navicular",,,,,,,,,,,
"talus","foot",,"articular surface with distal end of tibia",,,,,"articular surface with distal end of tibia",,,,,,,,,,,
"talus","foot",,"articular surface with medial malleolus",,,,,"articular surface with medial malleolus",,,,,,,,,,,
"talus","foot",,"medial tubercle",,,,,,,,,,,,,,,,
"talus","foot",,"lateral tubercle",,,,,,,,,,,,,,,,
"talus","foot",,"groove for flexor hallucis longus",,,,,,,,,,,,,,,,
"talus","foot",,"sulcus tali",,,,,,,,,,,,,,,,
"talus","foot",,"articular surface for calcaneonavicular ligament",,,,,,,,,,,,,,,,
"talus","foot",,"anterior calcaneal surface",,,,,,,,,,,,,,,,
"talus","foot",,"posterior calcaneal surface",,,,,,,,,,,,,,,,
"calcaneus","foot",,"anterior talar articular surface",,,,,"anterior talar articular surface",,,,,,,,,,,
"calcaneus","foot",,"middle talar articular surface",,,,,"middle talar articular surface",,,,,,,,,,,
"calcaneus","foot",,"calcaneal sulcus",,,,,,,,,,,,,,,,
"calcaneus","foot",,"sustentaculum tali",,,,,,,,,,,,,,,,
"calcaneus","foot",,"fibular trochlea",,,,,,,,,,,,,,,,
"calcaneus","foot",,"calcaneal tubercle",,,,,,,,,,,,,,,,
"calcaneus","foot",,"notch",,,,,,,,,,,,,,,,
"calcaneus","foot",,"lateral process",,,,,,,,,,,,,,,,
"calcaneus","foot",,"articular surface for cuboid bone",,,,,"articular surface for cuboid bone",,,,,,,,,,,
"calcaneus","foot",,"groove for tendon of flexor hallucis longus",,,,,,,,,,,,,,,,
"calcaneus","foot",,"medial process",,,,,,,,,,,,,,,,
"calcaneus","foot",,"posterior talar articular surface",,,,,"posterior talar articular surface",,,,,,,,,,,
"calcaneus","foot",,"attachment of calcaneofibular part of lateral collateral ligament of ankle joint",,,,,,,,,,,,,,,,
"spinous process","Boney feature",,"c1 spinous process",,,"torso","back","cervical vertebra","c1",,,,,,,,,,
"spinous process","Boney feature",,"c2 spinous process",,,"torso","back","cervical vertebra","c2",,,,,,,,,,
"spinous process","Boney feature",,"c3 spinous process",,,"torso","back","cervical vertebra","c3",,,,,,,,,,
"spinous process","Boney feature",,"c4 spinous process",,,"torso","back","cervical vertebra","c4",,,,,,,,,,
"spinous process","Boney feature",,"c5 spinous process",,,"torso","back","cervical vertebra","c5",,,,,,,,,,
"spinous process","Boney feature",,"c6 spinous process",,,"torso","back","cervical vertebra","c6",,,,,,,,,,
"spinous process","Boney feature",,"c7 spinous process",,,"torso","back","cervical vertebra","c7",,,,,,,,,,
"spinous process","Boney feature",,"t1 spinous process",,,"torso","back","thoracic vertebra","t1",,,,,,,,,,
"spinous process","Boney feature",,"t2 spinous process",,,"torso","back","thoracic vertebra","t2",,,,,,,,,,
"spinous process","Boney feature",,"t3 spinous process",,,"torso","back","thoracic vertebra","t3",,,,,,,,,,
"spinous process","Boney feature",,"t4 spinous process",,,"torso","back","thoracic vertebra","t4",,,,,,,,,,
"spinous process","Boney feature",,"t5 spinous process",,,"torso","back","thoracic vertebra","t5",,,,,,,,,,
"spinous process","Boney feature",,"t6 spinous process",,,"torso","back","thoracic vertebra","t6",,,,,,,,,,
"spinous process","Boney feature",,"t7 spinous process",,,"torso","back","thoracic vertebra","t7",,,,,,,,,,
"spinous process","Boney feature",,"t8 spinous process",,,"torso","back","thoracic vertebra","t8",,,,,,,,,,
"spinous process","Boney feature",,"t9 spinous process",,,"torso","back","thoracic vertebra","t9",,,,,,,,,,
"spinous process","Boney feature",,"t10 spinous process",,,"torso","back","thoracic vertebra","t10",,,,,,,,,,
"spinous process","Boney feature",,"t11 spinous process",,,"torso","back","thoracic vertebra","t11",,,,,,,,,,
"spinous process","Boney feature",,"t12 spinous process",,,"torso","back","thoracic vertebra","t12",,,,,,,,,,
"spinous process","Boney feature",,"L1 spinous process",,,"torso","back","lumber vertebra","l1",,,,,,,,,,
"spinous process","Boney feature",,"L2 spinous process",,,"torso","back","lumber vertebra","l2",,,,,,,,,,
"spinous process","Boney feature",,"L3 spinous process",,,"torso","back","lumber vertebra","l3",,,,,,,,,,
"spinous process","Boney feature",,"L4 spinous process",,,"torso","back","lumber vertebra","l4",,,,,,,,,,
"spinous process","Boney feature",,"L5 spinous process",,,"torso","back","lumber vertebra","l5",,,,,,,,,,
"interspinous ligament","Ligament",,"ligaments between each spinous process of the vertebra",,,"torso","back","vertebra",,,,,,,,,,,
"transverse process","Boney feature",,"c1 transverse process",,,"torso","back","cervical vertebra","c1",,,,,,,,,,
"transverse process","Boney feature",,"c2 transverse process",,,"torso","back","cervical vertebra","c2",,,,,,,,,,
"transverse process","Boney feature",,"c3 transverse process",,,"torso","back","cervical vertebra","c3",,,,,,,,,,
"transverse process","Boney feature",,"c4 transverse process",,,"torso","back","cervical vertebra","c4",,,,,,,,,,
"transverse process","Boney feature",,"c5 transverse process",,,"torso","back","cervical vertebra","c5",,,,,,,,,,
"transverse process","Boney feature",,"c6 transverse process",,,"torso","back","cervical vertebra","c6",,,,,,,,,,
"transverse process","Boney feature",,"c7 transverse process",,,"torso","back","cervical vertebra","c7",,,,,,,,,,
"transverse process","Boney feature",,"t1 transverse process",,,"torso","back","thoracic vertebra","t1",,,,,,,,,,
"transverse process","Boney feature",,"t2 transverse process",,,"torso","back","thoracic vertebra","t2",,,,,,,,,,
"transverse process","Boney feature",,"t3 transverse process",,,"torso","back","thoracic vertebra","t3",,,,,,,,,,
"transverse process","Boney feature",,"t4 transverse process",,,"torso","back","thoracic vertebra","t4",,,,,,,,,,
"transverse process","Boney feature",,"t5 transverse process",,,"torso","back","thoracic vertebra","t5",,,,,,,,,,
"transverse process","Boney feature",,"t6 transverse process",,,"torso","back","thoracic vertebra","t6",,,,,,,,,,
"transverse process","Boney feature",,"t7 transverse process",,,"torso","back","thoracic vertebra","t7",,,,,,,,,,
"transverse process","Boney feature",,"t8 transverse process",,,"torso","back","thoracic vertebra","t8",,,,,,,,,,
"transverse process","Boney feature",,"t9 transverse process",,,"torso","back","thoracic vertebra","t9",,,,,,,,,,
"transverse process","Boney feature",,"t10 transverse process",,,"torso","back","thoracic vertebra","t10",,,,,,,,,,
"transverse process","Boney feature",,"t11 transverse process",,,"torso","back","thoracic vertebra","t11",,,,,,,,,,
"transverse process","Boney feature",,"t12 transverse process",,,"torso","back","thoracic vertebra","t12",,,,,,,,,,
"transverse process","Boney feature",,"L1 transverse process",,,"torso","back","lumber vertebra","l1",,,,,,,,,,
"transverse process","Boney feature",,"L2 transverse process",,,"torso","back","lumber vertebra","l2",,,,,,,,,,
"transverse process","Boney feature",,"L3 transverse process",,,"torso","back","lumber vertebra","l3",,,,,,,,,,
"transverse process","Boney feature",,"L4 transverse process",,,"torso","back","lumber vertebra","l4",,,,,,,,,,
"transverse process","Boney feature",,"L5 transverse process",,,"torso","back","lumber vertebra","l5",,,,,,,,,,
"vertebral body","Boney feature",,"c1 vertebral body",,,"torso","back","cervical vertebra","c1",,,,,,,,,,
"vertebral body","Boney feature",,"c2 vertebral body",,,"torso","back","cervical vertebra","c2",,,,,,,,,,
"vertebral body","Boney feature",,"c3 vertebral body",,,"torso","back","cervical vertebra","c3",,,,,,,,,,
"vertebral body","Boney feature",,"c4 vertebral body",,,"torso","back","cervical vertebra","c4",,,,,,,,,,
"vertebral body","Boney feature",,"c5 vertebral body",,,"torso","back","cervical vertebra","c5",,,,,,,,,,
"vertebral body","Boney feature",,"c6 vertebral body",,,"torso","back","cervical vertebra","c6",,,,,,,,,,
"vertebral body","Boney feature",,"c7 vertebral body",,,"torso","back","cervical vertebra","c7",,,,,,,,,,
"vertebral body","Boney feature",,"t1 vertebral body",,,"torso","back","thoracic vertebra","t1",,,,,,,,,,
"vertebral body","Boney feature",,"t2 vertebral body",,,"torso","back","thoracic vertebra","t2",,,,,,,,,,
"vertebral body","Boney feature",,"t3 vertebral body",,,"torso","back","thoracic vertebra","t3",,,,,,,,,,
"vertebral body","Boney feature",,"t4 vertebral body",,,"torso","back","thoracic vertebra","t4",,,,,,,,,,
"vertebral body","Boney feature",,"t5 vertebral body",,,"torso","back","thoracic vertebra","t5",,,,,,,,,,
"vertebral body","Boney feature",,"t6 vertebral body",,,"torso","back","thoracic vertebra","t6",,,,,,,,,,
"vertebral body","Boney feature",,"t7 vertebral body",,,"torso","back","thoracic vertebra","t7",,,,,,,,,,
"vertebral body","Boney feature",,"t8 vertebral body",,,"torso","back","thoracic vertebra","t8",,,,,,,,,,
"vertebral body","Boney feature",,"t9 vertebral body",,,"torso","back","thoracic vertebra","t9",,,,,,,,,,
"vertebral body","Boney feature",,"t10 vertebral body",,,"torso","back","thoracic vertebra","t10",,,,,,,,,,
"vertebral body","Boney feature",,"t11 vertebral body",,,"torso","back","thoracic vertebra","t11",,,,,,,,,,
"vertebral body","Boney feature",,"t12 vertebral body",,,"torso","back","thoracic vertebra","t12",,,,,,,,,,
"vertebral body","Boney feature",,"L1 vertebral body",,,"torso","back","lumber vertebra","l1",,,,,,,,,,
"vertebral body","Boney feature",,"L2 vertebral body",,,"torso","back","lumber vertebra","l2",,,,,,,,,,
"vertebral body","Boney feature",,"L3 vertebral body",,,"torso","back","lumber vertebra","l3",,,,,,,,,,
"vertebral body","Boney feature",,"L4 vertebral body",,,"torso","back","lumber vertebra","l4",,,,,,,,,,
"vertebral body","Boney feature",,"L5 vertebral body",,,"torso","back","lumber vertebra","l5",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Rib 1","rib cage",,"Lateral surface",,,,,,,,,,,,,,,,
"Rib 2","rib cage",,"Lateral surface",,,,,,,,,,,,,,,,
"Rib 3","rib cage",,"Lateral surface",,,,,,,,,,,,,,,,
"Rib 4","rib cage",,"Lateral surface",,,,,,,,,,,,,,,,
"Rib 5","rib cage",,"Lateral surface",,,,,,,,,,,,,,,,
"Rib 6","rib cage",,"Lateral surface",,,,,,,,,,,,,,,,
"Rib 7","rib cage",,"Lateral surface",,,,,,,,,,,,,,,,
"Rib 8","rib cage",,"Lateral surface",,,,,,,,,,,,,,,,
"Rib 9","rib cage",,"Lateral surface",,,,,,,,,,,,,,,,
